0  -0,253880266075
0,00970873786408  -1,73621725185
0,0275080906149  -1,47249729117
0,0485436893204  -1,34073149205
0,0679611650485  -1,20119260328
0,0906148867314  -1,08496042595
0,11003236246  -1,02302685869
0,131067961165  -0,953345316772
0,155339805825  -0,891449421996
0,174757281553  -0,837276386886
0,194174757282  -0,814145480378
0,216828478964  -0,767758092409
0,234627831715  -0,760135692707
0,258899676375  -0,744802990837
0,278317152104  -0,713911552178
0,299352750809  -0,714074799618
0,320388349515  -0,706477514908
0,343042071197  -0,691132255541
0,362459546926  -0,683522413335
0,383495145631  -0,683685660775
0,404530744337  -0,676088376065
0,425566343042  -0,676251623505
0,446601941748  -0,668654338794
0,466019417476  -0,67656556089
0,488673139159  -0,661220301523
0,509708737864  -0,607059823908
0,529126213592  -0,514084128043
0,550161812298  -0,421120989674
0,572815533981  -0,32040987665
0,593851132686  -0,266249399034
0,613268608414  -0,235357960376
0,63430420712  -0,204479079213
0,656957928803  -0,181373287696
0,677993527508  -0,181536535136
0,699029126214  -0,166178718274
0,716828478964  -0,150795786422
0,739482200647  -0,150971591358
0,760517799353  -0,127853242345
0,781553398058  -0,112495425484
0,804207119741  -0,0971501661177
0,822006472492  -0,0895277664162
0,843042071197  -0,0741699495547
0,864077669903  -0,0588121326933
0,885113268608  -0,0434543158318
0,904530744337  -0,0203234093241
0,927184466019  -0,00497814995802
0,948220064725  0,0181401990542
0,96925566343  0,0490190802173
0,988673139159  0,0643894545742
